year,country_region,inflow_outflow_ratio,yoy_change
2021,Latvia,0.93,-0.133478187
2022,Latvia,1.11,0.198453728
2019,Lebanon,0.25,
2020,Lebanon,0.3,0.216106783
2021,Lebanon,0.22,-0.26894799
2022,Lebanon,0.3,0.385561197
2019,Luxembourg,1.67,
2020,Luxembourg,1.97,0.180259252
2021,Luxembourg,1.65,-0.162718859
2022,Luxembourg,1.72,0.042243559
2019,Malaysia,0.79,
2020,Malaysia,0.9,0.132743168
2021,Malaysia,0.76,-0.150938128
2022,Malaysia,0.69,-0.099906471
2019,Malta,0.87,
2020,Malta,1.21,0.385729958
2021,Malta,1.25,0.035040904
2022,Malta,1.4,0.122280892
2019,Mexico,0.75,
2020,Mexico,0.85,0.134023371
2021,Mexico,0.77,-0.094077888
2022,Mexico,0.67,-0.135546097
2019,Morocco,0.15,
2020,Morocco,0.35,1.405729075
2021,Morocco,0.45,0.2682654
2022,Morocco,0.41,-0.076662877
2019,Netherlands,1.36,
2020,Netherlands,1.39,0.024169318
2021,Netherlands,1.38,-0.009359896
2022,Netherlands,1.49,0.077598152
2019,New Zealand,1.57,
2020,New Zealand,1.62,0.032941695
2021,New Zealand,1.3,-0.19771104
2022,New Zealand,1.09,-0.160924514
2019,Nigeria,0.33,
2020,Nigeria,0.53,0.609270747
2021,Nigeria,0.36,-0.314240133
2022,Nigeria,0.34,-0.055198373
2019,Norway,1.49,
2020,Norway,1.25,-0.159501249
2021,Norway,1.35,0.075289721
2022,Norway,1.38,0.028530171
2019,Pakistan,0.27,
2020,Pakistan,0.59,1.168492157
2021,Pakistan,0.54,-0.078759698
2022,Pakistan,0.37,-0.318323129
2019,Panama,0.52,
2020,Panama,0.81,0.563686489
2021,Panama,0.75,-0.072792254
2022,Panama,0.81,0.084784117
2019,Peru,0.63,
2020,Peru,0.82,0.305273632
2021,Peru,0.52,-0.361414458
2022,Peru,0.68,0.306287276
2019,Philippines,0.66,
2020,Philippines,0.74,0.121789261
2021,Philippines,0.75,0.012200032
2022,Philippines,0.54,-0.284618288
2019,Poland,1.14,
2020,Poland,1.19,0.04426262
2021,Poland,1.4,0.169461667
2022,Poland,1.59,0.138259769
2019,Portugal,1.34,
2020,Portugal,1.5,0.11757368
2021,Portugal,1.55,0.034747529
2022,Portugal,1.83,0.18127186
2019,Puerto Rico,0.74,
2020,Puerto Rico,0.79,0.062003982
2021,Puerto Rico,0.71,-0.09619315
2022,Puerto Rico,0.68,-0.048061992
2019,Qatar,0.67,
2020,Qatar,0.92,0.379780067
2021,Qatar,1.11,0.20406629
2022,Qatar,1.65,0.489340206
2019,Romania,0.3,
2020,Romania,0.7,1.347774204
2021,Romania,0.75,0.066358756
2022,Romania,0.77,0.0317439
2019,Saudi Arabia,1.2,
2020,Saudi Arabia,1.2,-0.000665102
2021,Saudi Arabia,1.17,-0.020948666
2022,Saudi Arabia,1.53,0.306992134
2019,Singapore,0.7,
2020,Singapore,1.02,0.452684051
2021,Singapore,0.84,-0.173550182
2022,Singapore,1.22,0.449629291
2019,Slovenia,0.97,
2020,Slovenia,1.11,0.144858509
2021,Slovenia,0.96,-0.134283152
2022,Slovenia,1.05,0.091213322
2019,South Africa,0.85,
2020,South Africa,0.65,-0.22602649
2021,South Africa,0.77,0.170619246
2022,South Africa,0.56,-0.268450806
2019,Spain,1.78,
2020,Spain,1.3,-0.269508756
2021,Spain,1.48,0.135045478
2022,Spain,1.43,-0.034927852
2019,Sri Lanka,0.22,
2020,Sri Lanka,0.54,1.40167487
2021,Sri Lanka,0.46,-0.141931743
2022,Sri Lanka,0.23,-0.491708205
2019,Sweden,0.7,
2020,Sweden,1.51,1.14835024
2021,Sweden,1.56,0.032116781
2022,Sweden,1.46,-0.062703987
2019,Switzerland,1.6,
2020,Switzerland,1.67,0.046791727
2021,Switzerland,1.73,0.033839861
2022,Switzerland,1.8,0.039324106
2019,Thailand,1.16,
2020,Thailand,0.94,-0.185437463
2021,Thailand,0.94,-0.001774104
2022,Thailand,1,0.057930032
2019,Tunisia,0.11,
2020,Tunisia,0.33,1.976640206
2021,Tunisia,0.36,0.077041537
2022,Tunisia,0.29,-0.19966811
2019,Turkey,0.56,
2020,Turkey,0.75,0.346894698
2021,Turkey,0.67,-0.109738623
2022,Turkey,0.7,0.058449408
2019,Ukraine,0.28,
2020,Ukraine,0.63,1.283478656
2021,Ukraine,0.64,0.011609404
2022,Ukraine,0.27,-0.57254595
2019,United Arab Emirates,0.67,
2020,United Arab Emirates,1.1,0.640862008
2021,United Arab Emirates,1.37,0.243764985
2022,United Arab Emirates,1.65,0.206931478
2019,United Kingdom,0.92,
2020,United Kingdom,1,0.097300654
2021,United Kingdom,1.23,0.227048368
2022,United Kingdom,1.59,0.290103666
2019,United States,1.59,
2020,United States,0.98,-0.381833571
2021,United States,1.3,0.320753131
2022,United States,1.62,0.2500392
2019,Uruguay,0.8,
2020,Uruguay,0.86,0.084893883
2021,Uruguay,0.79,-0.090197104
2022,Uruguay,0.9,0.143597581
2019,Venezuela,0.09,
2020,Venezuela,0.13,0.450501445
2021,Venezuela,0.27,1.050360585
2022,Venezuela,0.53,0.973931961
